id,label,subject,text
1,shipping_delivery,Order hasn't shipped after 5 business days,I placed my order on March 1st and it's now March 6th but the order still shows as processing. When will it actually ship?
2,shipping_delivery,Tracking number not working,I received a tracking number but when I enter it on the carrier's website it says it doesn't recognize it. I can't track my package.
3,shipping_delivery,Package delivered to wrong address,My delivery was marked as complete but it was delivered to a different address than what I ordered. I don't have my package.
4,shipping_delivery,Item arrived damaged,The item I received has visible damage to the box and the product inside is broken. I need a replacement or refund.
5,shipping_delivery,Partial shipment received,I ordered 5 items but the package only contains 3. Where are the other 2 items?
6,shipping_delivery,Long shipping delays,My order has been in transit for 3 weeks with no updates. The estimated delivery date has passed multiple times.
7,shipping_delivery,Package marked as delivered but not received,The tracking shows delivered but I never received the package. It's been 5 days and still nothing. I'm worried it was stolen.
8,shipping_delivery,No shipping label provided,I was told to return my item but no return shipping label was included. Am I supposed to pay for return shipping?
9,shipping_delivery,International shipping taking too long,I ordered with international shipping and it's been 6 weeks. Is there an issue with customs or is it just slow?
10,shipping_delivery,Shipping cost seems excessive,The shipping fee charged was $45 for a small lightweight item. That seems like an extreme overcharge.
11,shipping_delivery,Express shipping not fulfilled,I paid extra for 2-day shipping but the package is taking normal ground shipping speed.
12,shipping_delivery,Multiple shipping costs charged,I was charged for shipping twice even though I only placed one order. One charge should be refunded.
13,shipping_delivery,Fragile items packed poorly,My fragile items arrived broken because they were barely wrapped with tissue paper. Better packing would have protected them.
14,shipping_delivery,Carrier showing different address,The carrier's tracking shows the package being delivered to an address I never authorized. Why is the destination different?
15,shipping_delivery,Lost package declared after short time,Tracking stopped updating after 3 days in transit and the carrier declared it lost after only 5 days. That seems premature.
16,shipping_delivery,No estimated delivery date,My tracking shows the package picked up but has no estimated delivery date. When will it arrive?
17,shipping_delivery,Package left in unsafe location,The driver left my expensive package in plain sight outside my front door instead of in a safer location I specified.
18,shipping_delivery,Signature requirement unexpected,I wasn't told signature would be required and I wasn't home so the package was returned to sender. I need it redelivered.
19,shipping_delivery,Holiday shipping delays,I ordered during the holiday season expecting delays but the package is 3 weeks late now even for that period.
20,shipping_delivery,Shipping address change ignored,I requested to change the shipping address before it shipped but it was sent to the old address anyway.
21,shipping_delivery,Package held at local facility,The tracking shows my package arrived at the local facility 2 days ago but hasn't been delivered yet.
22,shipping_delivery,No packing slip in package,I received my items but there's no packing slip or order confirmation. How do I know everything is correct?
23,shipping_delivery,Seller didn't provide tracking,I was never given a tracking number so I have no visibility into where my package is or when it will arrive.
24,shipping_delivery,Shipping time estimate way off,The estimate said 5-7 business days but it took 4 weeks. How are estimates that inaccurate?
25,shipping_delivery,Item substituted without permission,I ordered a red shirt but received blue instead. They're the same product but I didn't authorize this substitution.
26,shipping_delivery,Gift wrapping damaged the item,When the item came gift wrapped the wrapping process actually damaged it. The wrapping caused scratches and dents.
27,shipping_delivery,Package opened and repacked sloppily,My package appears to have been opened and then carelessly repacked with tape everywhere. What happened to it?
28,shipping_delivery,Seller applied wrong label,The tracking shows a completely different item was delivered than what I ordered. Wrong label must have been applied.
29,shipping_delivery,No updates after dispatch,After dispatch the tracking hasn't updated in a week. It seems stuck and I have no idea where my package is.
30,shipping_delivery,Customs delay for international order,My international order is stuck in customs with no timeline on when it will be released.
31,shipping_delivery,Out of area delivery attempt,The delivery company sent my package to the wrong city and had to reroute it. This caused significant delays.
32,shipping_delivery,Refrigerated item thawed during shipping,I ordered refrigerated items but they arrived warm and partially thawed. Temperature control failed during transit.
33,shipping_delivery,Oversized item damaged in shipping,The large item I ordered came damaged. It wasn't properly protected for a large item's shipping needs.
34,shipping_delivery,Shipping documentation missing,I need shipping documentation for business purposes but it's not attached to the package or my order confirmation.
35,shipping_delivery,Delivery window too long,The carrier gave me a full day delivery window instead of a specific time. This isn't convenient for my schedule.
36,shipping_delivery,Weekend delivery not offered,I need this delivered on a specific weekend date but the carrier won't do weekend delivery for my area.
