id,label,subject,text
1,account_access,Guest access permissions wrong,Guest access isn't respecting the permission levels I set.
2,account_access,PIN entry too sensitive,PIN entry requires too many attempts before locking.
3,account_access,Shared account not recommended warning missing,I created a shared account for the team but there was no warning that shared accounts are security risks.
4,account_access,Payment info required for free account,You're asking for payment information even though I only want the free tier. Why do you need my card?
5,account_access,Fingerprint entry stopped working after the update,Since the latest update my fingerprint authentication no longer works and I don't remember my credentials.
6,account_access,Certificate pinning missing,HTTPS certificate pinning not implemented.
7,account_access,OAuth consent revoked,User revoked OAuth consent causing account access loss.
8,account_access,Subscription lapsed and now I'm being turned away,I renewed my subscription last week but the system still shows expired and blocks my login every time I try.
9,account_access,Profile completely inaccessible,"My profile page refuses to load. I don't know if it's the password, my account status, or just a technical issue."
10,account_access,Account suspended for no reason,My account was suspended without explanation and I haven't violated any terms. I'm still being charged the monthly fee but I can't access anything. I need this restored immediately.
11,account_access,Session drops immediately after I get in,"I get in successfully, see my dashboard for about two seconds, then get kicked back to the entry page."
12,account_access,Old credentials preventing new credentials from being set,Your security history requirements won't let me reuse any old credentials but I'm running out of ideas and they keep expiring.
13,account_access,Multiple simultaneous sessions causing conflicts,Multiple concurrent logins cause session conflicts.
14,account_access,Age verification blocking account,The age verification system is refusing my valid government ID. I'm definitely old enough.
15,account_access,Phone number not updating,I tried to update my phone number for 2FA but the change won't save.
16,account_access,Session expires immediately after login,Every time I successfully authenticate the system logs me back out within seconds before I can do anything. I have tried clearing cookies and using a different browser but the session still expires instantly. This is happening across all devices I own. I need my account session to stay active long enough for me to use the product.
17,account_access,"Password reset email not arriving, can't get back in",I clicked forgot password and submitted my email address but I'm not receiving the reset email. I can't access my account.
18,account_access,State lost mid-way through sign-in flow,If I navigate away from the entry page during setup the state is completely lost.
19,account_access,Payment failed and now I'm locked out,My card was declined on renewal and the system immediately locked my account without any warning. I've updated my payment info but still can't get in.
20,account_access,Device trust mechanism missing,Can't mark trusted devices to skip 2FA.
21,account_access,Account entry page extremely slow to load,The entry page takes forever to load making the whole authentication process painfully slow.
22,account_access,I did NOT forget my password the system just won't accept it,I want to be clear that I have not forgotten my password and I do not need a password reset. The system is simply refusing to accept my correct credentials every single time. I have verified the password in a text editor to confirm there are no typos. Something on the back end is blocking my account access despite my credentials being correct.
23,account_access,Browser not saving my sign-in details,My browser isn't saving my account details even though I have that option enabled.
24,account_access,Two-factor authentication code not working,I set up 2FA but the app keeps generating invalid codes that your system rejects even though the timing is correct.
25,account_access,Corporate email not recognized,When I use my company email to sign up you say it's not a valid email format even though it is.
26,account_access,Magic link arrives fine but clicking it does nothing,"I requested a magic link, it arrived, I clicked it, and nothing happened. No login, no error, just back to the homepage."
27,account_access,Session timeout unpredictable,Session timeout happens at random intervals.
28,account_access,Welcome email had a broken link to get into my account,The welcome email I received had a broken URL for logging in. Clicking it says the page doesn't exist.
29,account_access,Cancelled subscription but account also got deleted,I only cancelled my plan but somehow my entire account was deleted. I need access restored.
30,account_access,Unusual sign-in activity from unknown locations,Seeing access activity on my account from locations I've never been. I'm worried someone is in my account and could be changing my payment method or subscription plan.
31,account_access,SSO login redirects to error page,When I attempt to access my account using our company single sign-on the redirect sends me to a broken error page instead of my dashboard. Direct username and password entry also fails with a different error. My colleagues using the same SSO provider get in fine so this appears to be specific to my account. Please investigate and restore my access.
32,account_access,Preference changes not persisted,Account preferences aren't being saved properly.
33,account_access,OAuth sign-in keeps failing,I tried to use Google to get into my account but got an error during the authorization process.
34,account_access,Password reset link malformed,The password reset link in the email has special characters that break the URL.
