id,label,subject,text
1,bug_report,App crashes on startup,Every time I open the app on my iPhone 14 it crashes immediately after the splash screen. I've tried reinstalling but the problem persists. Running iOS 17.2.
2,bug_report,Images not loading on product page,Product images on the website are broken — I just see a gray box. This started happening yesterday. I'm using Chrome 121 on Windows 11.
3,bug_report,Export to CSV downloads empty file,When I click 'Export to CSV' on my dashboard the file downloads but it's completely empty. The data shows fine in the UI. Tried Firefox and Edge same result.
4,bug_report,Notifications not being sent,I set up email notifications for new orders but I'm not receiving any emails. My spam folder is clean. Tested with a test order and no email came through.
5,bug_report,Search returns no results for valid queries,Searching for 'laptop' or 'headphones' in the search bar returns zero results even though I can see those products when I browse categories. Search seems completely broken.
6,bug_report,Two-factor authentication code rejected,My 2FA codes keep saying 'invalid code' even though I'm entering them immediately. My phone's time is synced. This is blocking me from logging in.
7,bug_report,Payment form throws 500 error,When I try to complete checkout and click 'Pay Now' I get a generic 500 internal server error. I've tried three different credit cards. Cart items are still there.
8,bug_report,Dark mode text is unreadable,After the latest update enabling dark mode makes the text in the settings panel turn black-on-dark-gray and I can't read anything. Please fix ASAP.
9,bug_report,API returns 401 with valid token,Our integration is suddenly getting 401 Unauthorized responses on the /v2/orders endpoint. The API key hasn't changed and was working fine until this morning.
10,bug_report,Calendar sync duplicating events,Since I connected Google Calendar every event is showing up three times. I disconnected and reconnected and the duplicates are still there.
11,bug_report,Video upload stuck at 99%,Uploading any video file gets stuck at 99% indefinitely. I've waited over an hour. The file size is around 200MB. Tried on Chrome and Safari.
12,bug_report,Report generation hangs forever,Clicking 'Generate Report' shows a spinner but never finishes. Left it running for 45 minutes before giving up. This used to take about 30 seconds.
13,bug_report,Dropdown menu options not clickable on mobile,On my Android phone when I tap on a dropdown menu in the checkout form the options appear but none of them respond to taps. Site version not app.
14,bug_report,Data not saving after session expires,If my session times out while I'm editing a form and I log back in all my changes are lost. There's no warning that the session expired before I hit save.
15,bug_report,Wrong currency displayed for EU accounts,My account is set to EUR but all prices are displaying in USD. This happened after your maintenance window last Tuesday. Region settings still show Europe/Berlin.
16,bug_report,Mobile app freezes when adding items,The iOS app completely freezes for 10+ seconds whenever I try to add something to my cart. Sometimes it crashes after the freeze.
17,bug_report,Login page infinite loop,After I enter my credentials on the login page it just spins and never actually logs me in. I've tried three different browsers.
18,bug_report,Checkout page missing shipping options,The shipping options dropdown on checkout is completely empty. I can't select a shipping method so I can't complete my purchase.
19,bug_report,Receipt email never arrives,After purchasing I get an order confirmation page but the receipt email never arrives. I need that for my records.
20,bug_report,Map widget not loading,The store location map on the contact page just shows a gray box. The map isn't loading even though Google Maps is working fine on other sites.
21,bug_report,Filter results not updating,When I click on price or category filters nothing happens. The products don't filter and no error message appears.
22,bug_report,Sorting dropdown broken,When I select 'Sort by Price' or 'Sort by Rating' the products stay in the same order. The sort isn't working at all.
23,bug_report,Share button produces broken link,When I try to share a product the link generated doesn't work. It shows a 404 error when I click it.
24,bug_report,Password reset email contains wrong link,The password reset email has a link but when I click it I get 'token expired' even though I clicked immediately. The link might be malformed.
25,bug_report,Wishlist items disappearing,Items I added to my wishlist keep disappearing. When I refresh the page several items are gone.
26,bug_report,Chat support widget not responding,The chat box opens but messages don't send. The send button doesn't work no matter how many times I click it.
27,bug_report,Page layout broken on tablet,When I view the site on my iPad everything is jumbled. Text overlaps with images and buttons are cut off.
28,bug_report,Form field validation too strict,The form rejects my address as 'invalid' but it's a real valid address. I can't complete the signup because of this.
29,bug_report,Download attachment returns 404,When I try to download an invoice PDF I get a 404 error. The file might be missing from your server.
30,bug_report,Search autocomplete shows irrelevant results,When I start typing in the search bar the suggestions are completely off-topic and not helpful.
31,bug_report,Database connection error on some pages,Occasionally when I load product pages I see a 'database connection error' message. Refreshing usually fixes it but it's unreliable.
32,bug_report,Confirmation dialog keeps reappearing,When I delete an item a confirmation dialog pops up but even after I click Yes it pops up again immediately.
33,bug_report,Double-clicking items adds multiple quantities,If I accidentally double-click 'Add to Cart' it adds the item multiple times instead of once.
34,bug_report,Page hangs when loading large lists,When I try to view my full order history the page hangs. It probably has too many records to load at once.
35,bug_report,Email field won't accept certain domains,When I try to sign up with my company email from a less common domain the form says it's invalid. But I can receive emails there.
36,bug_report,Notification badge count wrong,The notification bell shows 5 unread messages but when I click it there are only 2. The count is inaccurate.
37,bug_report,Search doesn't work with special characters,Searching for products with dashes or underscores in the name returns no results. The search doesn't handle special characters.
38,bug_report,Logout doesn't clear session,After I logout I can still access my account by hitting the back button. The session isn't being properly destroyed.
39,bug_report,File upload accepts wrong file types,I can upload a .exe file on the form even though it should only accept images. There's no file type validation.
40,bug_report,Loading spinner never stops,Sometimes the loading spinner on the dashboard just keeps spinning forever. The page never finishes loading even though there's no network issue.
41,bug_report,Pagination not working correctly,When I click page 2 or 3 the URL changes but the same products stay on screen. The pagination doesn't actually navigate between pages.
42,bug_report,Memory leak causes app slowdown,After using the app for 30 minutes it gets noticeably slower and more sluggish. The app isn't releasing memory properly.
43,bug_report,Color picker returning wrong hex values,When I select a color with the color picker the hex value saved is different from what I selected.
44,bug_report,Print stylesheet broken,When I try to print the page or use Print to PDF it looks completely different from the screen. The print styles aren't working.
45,bug_report,Autocorrect making changes without consent,The form fields have aggressive autocorrect that's changing my text as I type. I can't disable it.
46,bug_report,Service worker not updating,New code changes aren't showing up because the old service worker is cached. Users need to do a hard refresh to see updates.
47,bug_report,Timezone handling causing wrong dates,Events and orders are showing dates that are off by one day. The timezone handling seems broken.
48,bug_report,DOM rendering showing placeholder text,Sometimes placeholder text from the HTML remains visible in production instead of being replaced by actual content.
49,bug_report,Event listeners not cleaning up,After navigating between pages the old event listeners are still firing. This is causing duplicate actions and memory issues.
50,bug_report,Console errors not being logged,Errors in the browser console aren't being captured by the error tracking system. We can't debug issues from production.
51,bug_report,Integer overflow causing incorrect totals,Orders with many items show incorrect totals. The subtotal calculation seems to overflow with large quantities.
52,bug_report,Race condition on rapid updates,If I click a button multiple times quickly sometimes contradictory states occur and the data gets corrupted.
53,bug_report,Modal backdrop not clickable,When a modal dialog opens I can click through the backdrop to interact with elements behind it. The overlay isn't properly blocking input.
54,bug_report,Tree structure rendering incorrectly,Hierarchical data with nested children isn't displaying the correct indentation and parent-child relationships look confused.
55,bug_report,Tooltip z-index issues,Tooltips appear behind other elements instead of on top. The z-index layering isn't correct.
56,bug_report,Regex pattern validation failing,Email validation regex is rejecting valid email formats that are technically correct RFC 5321 compliant.
57,bug_report,Caching headers sending wrong content,Old cached pages are being served instead of fresh content. The cache control headers seem misconfigured.
58,bug_report,Binary file handling corrupting data,When uploading or downloading binary files they're getting corrupted in transit. Text encoding might be the issue.
59,bug_report,Concurrency causing race conditions,Simultaneous updates from multiple tabs corrupts the local state. The app doesn't handle concurrent changes well.
60,bug_report,Encoding issues with international text,Non-ASCII characters in names or descriptions are showing as mojibake or question marks in output.
61,bug_report,Installation package corrupt,The installer is corrupted and won't run properly. Installation keeps failing.
62,bug_report,Setup wizard crashing,The initial setup wizard crashes when trying to configure settings.
63,bug_report,Dependencies missing after install,After installation critical dependencies are missing causing the app to fail.
64,bug_report,Registry corruption on Windows,The app corrupts the Windows registry making other apps fail too.
65,bug_report,Permissions error on startup,Getting permission denied errors on startup even with admin privileges.
66,bug_report,Config file not found,The app can't find its configuration file after installation.
67,bug_report,Database migration failing,Database migration during upgrade fails leaving the system in broken state.
68,bug_report,Schema mismatch error,Database schema doesn't match application code causing queries to fail.
69,bug_report,Connection pooling exhaustion,Connection pool gets exhausted and no more database connections available.
70,bug_report,Memory leak in background service,Background service is slowly leaking memory until the system runs out.
71,bug_report,File descriptor leak,File handles aren't being closed properly causing too many open files error.
72,bug_report,Thread pool saturation,Thread pool gets saturated and new tasks can't run.
73,bug_report,Mutex deadlock happening,Two threads are deadlocked waiting on mutexes.
74,bug_report,Race condition on startup,Race condition between initialization routines causes sporadic crashes on startup.
75,bug_report,Signal handler not working,SIGTERM handler isn't working so graceful shutdown fails.
76,bug_report,Timer drift over time,Background timer drifts away from actual time over hours.
77,bug_report,Floating point precision issue,Floating point math operations lose precision causing calculation errors.
78,bug_report,Integer overflow in counter,A counter overflows to negative numbers after reaching max int.
79,bug_report,Date parsing locale issue,Date parsing fails with different locale settings.
80,bug_report,Time zone DST handling broken,Time zone handling breaks around daylight saving time transitions.
81,bug_report,Unicode normalization issue,Unicode characters aren't normalized causing comparison failures.
82,bug_report,Regex catastrophic backtracking,Some regex patterns cause catastrophic backtracking making system hang.
83,bug_report,Null dereference in edge case,A null pointer dereference crashes the app in edge cases.
84,bug_report,Off-by-one error in loop,Loop boundary is off by one causing wrong elements to be processed.
85,bug_report,Array index out of bounds,Accessing array index beyond its length causes crash.
86,bug_report,String concatenation memory leak,String concatenation in loops leaks memory because strings aren't being freed.
87,bug_report,Circular reference not collected,Circular references prevent garbage collection causing memory leak.
88,bug_report,Handle not released on error,If an error occurs a file handle isn't released properly.
89,bug_report,Resource lock not released,Acquired lock isn't released if function returns early on error.
90,bug_report,Promise rejection not handled,Unhandled promise rejection causes warning or crash in Node.js.
