id,label,subject,text
1,billing,Charged twice this month,My credit card statement shows two charges of $49.99 from your company on March 1st. I'm on a monthly plan so there should only be one. Please refund the duplicate.
2,billing,Invoice not matching quoted price,My invoice for March says $299/month but I was quoted $249/month during signup. I have the confirmation email with the original price. Can you correct this?
3,billing,Unable to update payment method,When I try to add a new credit card in billing settings the form just reloads after I submit. My old card is expiring next week so I need this fixed urgently.
4,billing,Cancellation not processed still being charged,I cancelled my subscription on February 15th and received a confirmation email but I was still charged on March 1st. Please process the refund and confirm cancellation.
5,billing,Need VAT invoice for company records,Our accounting department needs a proper VAT invoice with our company's VAT number included. The invoices you generate don't have a field for this. How do I get one?
6,billing,Promo code not applied at checkout,I entered the promo code SAVE20 at checkout and it said it was applied but the final charge on my card was full price. Please apply the 20% discount or refund the difference.
7,billing,Unexpected charge on my account,I see a charge of $9.99 labeled 'Add-on Feature' on my bill but I never purchased any add-ons. Can you tell me what this is for and remove it if it's an error?
8,billing,Annual plan refund request,I upgraded to the annual plan three days ago but it's not the right fit. I'd like to downgrade back to monthly and get a prorated refund for the remaining months.
9,billing,Payment declined but I was still charged,I tried to pay my invoice and got a 'payment declined' message. However my bank shows the $89 was actually debited. I have a screenshot of both the error and bank statement.
10,billing,Subscription plan showing wrong tier,I upgraded from Starter to Pro last week and the payment went through but my account still shows Starter features and limits. My invoice shows the Pro charge.
11,billing,Request for billing history download,I need all billing history from 2023 and 2024 for our annual audit. The portal only shows the last 6 months. Can you export or email the full history as PDF?
12,billing,Charged for team seats I removed,I removed three team members from our account on March 1st but the March invoice still includes 8 seats instead of 5. Please adjust the billing for next month and credit back.
13,billing,Free trial ended early,My 14-day free trial was supposed to end on March 20th but you charged my card on March 10th. I'd like the charge reversed and my trial extended.
14,billing,Need to change billing email address,Our company restructured and I need to change the billing contact email from john@oldcompany.com to finance@newcompany.com. Who do I contact for this?
15,billing,Double billing on annual renewal,We were charged twice for our annual plan renewal this month. One charge on the 1st and another on the 15th. Please investigate and issue a refund for the duplicate.
