id,label,subject,text
1,refund_request,Charged twice this month need refund,My credit card statement shows two charges of $49.99 from your company on March 1st. I'm on a monthly plan so there should only be one. Please refund the duplicate immediately.
2,refund_request,Invoice not matching quoted price refund,My invoice for March says $299/month but I was quoted $249/month during signup. I have the confirmation email with the original price. Please refund the difference.
3,refund_request,Cancellation refund pending,I cancelled my subscription on February 15th and received a confirmation email but I was still charged on March 1st. Please process the refund and confirm cancellation.
4,refund_request,Annual plan refund request,I upgraded to the annual plan three days ago but it's not the right fit. I'd like to downgrade back to monthly and get a prorated refund for the remaining months.
5,refund_request,Payment declined but I was still charged refund,I tried to pay my invoice and got a 'payment declined' message. However my bank shows the $89 was actually debited. Please refund the erroneous charge.
6,refund_request,Promotional offer not honored refund,I was promised 3 months free when I signed up but you're charging me for month 1. The promotion should cover the first 3 months and I want a refund.
7,refund_request,Free trial ended early refund,My 14-day free trial was supposed to end on March 20th but you charged my card on March 10th. I'd like the charge reversed and a full refund.
8,refund_request,Double billing on annual renewal,We were charged twice for our annual plan renewal this month. One charge on the 1st and another on the 15th. Please investigate and issue a refund for the duplicate.
9,refund_request,Refund still pending after two weeks,I requested a refund on March 10th and it shows as processed on your end but hasn't appeared in my bank account yet. Please expedite the refund.
10,refund_request,Previous overpayment not credited,I overpaid my account by $50 last month and was told it would be credited toward my next invoice. It's not showing on this month's bill so I want a refund.
11,refund_request,Multiple refunds issued confusion,I requested one refund but I see three separate refund transactions from you in my bank account. I'm confused about what I actually owe and need clarification.
12,refund_request,Refund bounced back to my bank,I received my refund but my bank sent it back as undeliverable. Now it's stuck and I need help getting it reissued to a valid account.
13,refund_request,Service downtime not credited refund,You had a 4-hour outage last month but no service credits were issued. I was down during business hours and want a refund for that downtime.
14,refund_request,Promo code not applied refund,I entered the promo code SAVE20 at checkout and it said it was applied but the final charge on my card was full price. Please apply the 20% discount or refund the difference.
15,refund_request,Unexpected charge refund,I see a charge of $9.99 labeled 'Add-on Feature' on my bill but I never purchased any add-ons. Please tell me what this is for and refund it.
16,refund_request,Currency conversion error refund,I'm located in Canada but my invoice shows USD pricing even though I set my account to CAD. The exchange rate applied seems incorrect and I want a refund for the overcharge.
17,refund_request,Discount code expired refund,I had a 30% discount code that was supposed to be valid through March but it stopped working mid-month. Can you reapply the discount or issue a refund?
18,refund_request,Cancellation refund request,I cancelled my subscription but charges keep appearing on my card. Please stop the charges and refund all recent charges.
19,refund_request,Item arrived damaged refund,The item I received has visible damage to the box and the product inside is broken. I need a full refund for the damaged item.
20,refund_request,Wrong item shipped refund,I ordered one product but received a completely different item. Please send the correct item or issue a full refund.
21,refund_request,Counterfeit product refund,The item I received appears to be counterfeit or imitation not genuine. I want a full refund for this product.
22,refund_request,Open box item refund,I paid for new but received an opened or used item. I want a refund for receiving used merchandise.
23,refund_request,Partial shipment refund,I ordered 5 items but the package only contains 3. Please refund for the 2 missing items or ship them immediately.
24,refund_request,Return shipping cost refund,The return shipping is extremely expensive. Can you refund the return shipping cost or provide a prepaid label?
25,refund_request,Restocking fee too high refund,The restocking fee deducted from my refund is excessive. Please reduce the fee and refund the difference.
26,refund_request,Not as described refund,The product doesn't match the description on the website. I want a full refund for misrepresented merchandise.
27,refund_request,Quality issue refund,The quality of the item is poor and doesn't meet expectations. I want a refund for the substandard product.
28,refund_request,Size or fit wrong refund,The item is the wrong size and doesn't fit. I want a refund for the incorrect size.
29,refund_request,Color not as pictured refund,The color of the item is completely different from the picture on the website. I want a refund for the mismatched color.
30,refund_request,Expiration date issue refund,The food item I received is expired or has a very short expiration date. Please refund and send a replacement with a proper expiration date.
31,refund_request,Missing parts refund,The item came with missing parts making it unusable. I want a refund for the incomplete item.
32,refund_request,Defective product refund,The product is defective and doesn't work properly. Please refund so I can purchase a working alternative.
33,refund_request,Wrong size shipped refund,I ordered size medium but received size large. Please ship the correct size or refund my purchase.
34,refund_request,Duplicate order refund,I accidentally ordered the same item twice. Please refund one of the duplicate orders.
35,refund_request,Unwanted purchase refund,I changed my mind about this purchase and want to return it for a refund.
36,refund_request,Over-charged refund,I was charged more than the advertised price. Please refund the overcharge.
37,refund_request,Hidden fees refund,There were hidden fees added that weren't disclosed at checkout. Please refund the hidden fees.
38,refund_request,Membership charge refund,I was charged for a membership I didn't authorize. Please cancel and refund the charge.
39,refund_request,Subscription renewal refund,My subscription renewed without my consent. Please cancel and refund the renewal charge.
40,refund_request,Service not provided refund,I paid for a service that was never provided. Please refund the full amount.
41,refund_request,Quality guarantee violated refund,Your quality guarantee was violated and the product failed. I'm entitled to a refund.
42,refund_request,Satisfaction guarantee refund,I'm not satisfied with my purchase and want to use the satisfaction guarantee refund.
43,refund_request,Money-back guarantee refund,You advertised a money-back guarantee so I want to use it for a refund.
44,refund_request,Trial period refund,The trial period was supposed to be free but I was charged. I want a refund for the trial charge.
45,refund_request,Extended warranty refund,I don't want the extended warranty that was added to my order. Please refund that charge.
46,refund_request,Protection plan refund,I don't want the protection plan. Please remove it and refund the charge.
47,refund_request,Gift card refund,I accidentally purchased a gift card for the wrong amount. Please refund it.
48,refund_request,Store credit refund,I have store credit but want a refund instead. Can you refund my purchase?
49,refund_request,Damaged packaging refund,The item arrived with damaged packaging though the item inside seems fine. Please still provide a refund for the damaged item or send a replacement.
50,refund_request,Late delivery refund,The item arrived much later than promised. I want a refund for the late delivery.
51,refund_request,Never received item refund,I paid for this item but never received it. I want a full refund.
52,refund_request,Lost package refund,The package was lost in transit. Please refund or reship the item.
53,refund_request,Stolen package refund,My package was stolen from my porch. Please refund or reship to a safer location.
54,refund_request,Wrong address delivery refund,The item was delivered to the wrong address and I can't get it back. Please refund.
55,refund_request,Seller communication refund,The seller was unresponsive to my complaints. I want a refund and to close this order.
56,refund_request,Third-party seller issue refund,The third-party seller provided poor service. I want a refund from the platform.
57,refund_request,Marketplace guarantee refund,I'm invoking the marketplace guarantee for this defective item. I want a full refund.
58,refund_request,Buyer protection refund,I'm using my buyer protection to get a refund for this item.
59,refund_request,Chargeback refund,I'm filing a chargeback with my credit card company for this unauthorized charge.
60,refund_request,Payment dispute refund,I'm disputing this charge with my bank. Please refund before I escalate further.
61,refund_request,Fraudulent charge refund,This charge appears to be fraudulent. I didn't authorize this purchase. Please refund immediately.
62,refund_request,Identity theft concern refund,My account may have been compromised. Please refund any unauthorized charges.
63,refund_request,Unauthorized access refund,Someone else accessed my account and made purchases. I want a refund for unauthorized charges.
64,refund_request,Security breach refund,Your security was breached and my payment information was compromised. I want a refund.
65,refund_request,Data protection refund,You misused my personal data. I want a refund as compensation.
66,refund_request,Privacy violation refund,You violated my privacy by selling my data. I want a refund as compensation.
67,refund_request,Discrimination refund,I was discriminated against and treated unfairly. I want a refund.
68,refund_request,Breach of contract refund,You breached the contract terms. I want a refund.
69,refund_request,Misrepresentation refund,You misrepresented the product. I want a full refund.
70,refund_request,False advertising refund,The product doesn't meet the false advertising claims. I want a refund.
71,refund_request,Bait and switch refund,You used bait and switch tactics and I want a refund.
72,refund_request,Deceptive practices refund,Your deceptive business practices caused me to purchase. I want a refund.
73,refund_request,Unconscionable terms refund,The terms are unconscionable and I want a refund.
74,refund_request,Unfair contract refund,The contract terms are unfair. I want a refund and to cancel.
75,refund_request,Penalty clause refund,The penalty clause is excessive. I want a refund instead of paying penalties.
76,refund_request,Unilateral change refund,You unilaterally changed the agreement terms. I want a refund.
77,refund_request,No consent modification refund,You modified the service without my consent. I want a refund.
78,refund_request,Material breach refund,You materially breached the agreement. I want a full refund.
79,refund_request,Failure to perform refund,You failed to perform your obligations. I want a refund.
80,refund_request,Inadequate service refund,The service provided was inadequate. I want a refund.
81,refund_request,Poor customer service refund,Your customer service was poor and unhelpful. I'm requesting a refund due to bad service.
82,refund_request,Rude staff refund,The staff was rude and disrespectful. I want a refund for the poor experience.
83,refund_request,Long wait time refund,I had to wait an unacceptable amount of time. I want a refund for my inconvenience.
84,refund_request,Unresolved complaint refund,My complaint has been unresolved for weeks. I want a refund to settle this.
85,refund_request,No resolution offered refund,You offered no resolution to my complaint. I want a refund.
86,refund_request,Inadequate compensation refund,The compensation you offered is inadequate. I want a full refund instead.
87,refund_request,Ignoring refund request,I've requested a refund multiple times and you're ignoring me. Please process it.
88,refund_request,Refund denial unjustified,You denied my refund request without justification. Please reconsider and approve.
89,refund_request,Appeal refund denial,I'm appealing your denial of my refund request. Please reconsider.
