id,label,subject,text
1,bug_report,App crash issue #6426,"On 2026-04-07 20:39, while using the app, I encountered an issue (error code ERR989). Steps: open dashboard -> click report -> crash. Order ref ORD-580341. Please investigate."
2,bug_report,App crash issue #722,"On 2025-10-31 20:39, while using the app, I encountered an issue (error code ERR353). Steps: open dashboard -> click report -> crash. Order ref ORD-531814. Please investigate."
3,bug_report,App crash issue #8456,"On 2025-10-06 20:39, while using the app, I encountered an issue (error code ERR114). Steps: open dashboard -> click report -> crash. Order ref ORD-555743. Please investigate."
4,bug_report,App crash issue #5265,"On 2025-07-28 20:39, while using the app, I encountered an issue (error code ERR298). Steps: open dashboard -> click report -> crash. Order ref ORD-338632. Please investigate."
5,bug_report,App crash issue #1103,"On 2025-04-14 20:39, while using the app, I encountered an issue (error code ERR786). Steps: open dashboard -> click report -> crash. Order ref ORD-627348. Please investigate."
6,bug_report,App crash issue #8220,"On 2025-09-18 20:39, while using the app, I encountered an issue (error code ERR298). Steps: open dashboard -> click report -> crash. Order ref ORD-295692. Please investigate."
7,bug_report,App crash issue #2695,"On 2026-02-26 20:39, while using the app, I encountered an issue (error code ERR177). Steps: open dashboard -> click report -> crash. Order ref ORD-642772. Please investigate."
8,bug_report,App crash issue #1320,"On 2026-01-05 20:39, while using the app, I encountered an issue (error code ERR557). Steps: open dashboard -> click report -> crash. Order ref ORD-887591. Please investigate."
9,bug_report,App crash issue #5891,"On 2025-11-14 20:39, while using the app, I encountered an issue (error code ERR736). Steps: open dashboard -> click report -> crash. Order ref ORD-572904. Please investigate."
10,bug_report,App crash issue #9025,"On 2025-10-27 20:39, while using the app, I encountered an issue (error code ERR842). Steps: open dashboard -> click report -> crash. Order ref ORD-907747. Please investigate."
11,bug_report,App crash issue #5642,"On 2025-10-28 20:39, while using the app, I encountered an issue (error code ERR678). Steps: open dashboard -> click report -> crash. Order ref ORD-251204. Please investigate."
12,bug_report,App crash issue #852,"On 2026-01-27 20:39, while using the app, I encountered an issue (error code ERR713). Steps: open dashboard -> click report -> crash. Order ref ORD-635809. Please investigate."
13,bug_report,App crash issue #7748,"On 2025-10-06 20:39, while using the app, I encountered an issue (error code ERR121). Steps: open dashboard -> click report -> crash. Order ref ORD-963592. Please investigate."
14,bug_report,App crash issue #3015,"On 2026-01-17 20:39, while using the app, I encountered an issue (error code ERR643). Steps: open dashboard -> click report -> crash. Order ref ORD-901713. Please investigate."
15,bug_report,App crash issue #3020,"On 2025-07-21 20:39, while using the app, I encountered an issue (error code ERR711). Steps: open dashboard -> click report -> crash. Order ref ORD-852066. Please investigate."
16,bug_report,App crash issue #8182,"On 2025-12-22 20:39, while using the app, I encountered an issue (error code ERR391). Steps: open dashboard -> click report -> crash. Order ref ORD-851365. Please investigate."
17,bug_report,App crash issue #4149,"On 2025-06-03 20:39, while using the app, I encountered an issue (error code ERR982). Steps: open dashboard -> click report -> crash. Order ref ORD-696077. Please investigate."
18,bug_report,App crash issue #9407,"On 2026-04-02 20:39, while using the app, I encountered an issue (error code ERR939). Steps: open dashboard -> click report -> crash. Order ref ORD-555464. Please investigate."
19,bug_report,App crash issue #3388,"On 2025-12-08 20:39, while using the app, I encountered an issue (error code ERR379). Steps: open dashboard -> click report -> crash. Order ref ORD-489680. Please investigate."
20,bug_report,App crash issue #8167,"On 2026-03-13 20:39, while using the app, I encountered an issue (error code ERR870). Steps: open dashboard -> click report -> crash. Order ref ORD-682399. Please investigate."
21,bug_report,App crash issue #4856,"On 2025-11-04 20:39, while using the app, I encountered an issue (error code ERR991). Steps: open dashboard -> click report -> crash. Order ref ORD-284404. Please investigate."
22,bug_report,App crash issue #8784,"On 2025-07-17 20:39, while using the app, I encountered an issue (error code ERR335). Steps: open dashboard -> click report -> crash. Order ref ORD-365916. Please investigate."
23,bug_report,App crash issue #3426,"On 2026-02-05 20:39, while using the app, I encountered an issue (error code ERR337). Steps: open dashboard -> click report -> crash. Order ref ORD-926947. Please investigate."
24,bug_report,App crash issue #9743,"On 2025-09-03 20:39, while using the app, I encountered an issue (error code ERR164). Steps: open dashboard -> click report -> crash. Order ref ORD-401205. Please investigate."
25,bug_report,App crash issue #6616,"On 2026-03-08 20:39, while using the app, I encountered an issue (error code ERR680). Steps: open dashboard -> click report -> crash. Order ref ORD-458695. Please investigate."
26,bug_report,App crash issue #5785,"On 2025-07-27 20:39, while using the app, I encountered an issue (error code ERR299). Steps: open dashboard -> click report -> crash. Order ref ORD-645661. Please investigate."
27,bug_report,App crash issue #2339,"On 2025-08-21 20:39, while using the app, I encountered an issue (error code ERR568). Steps: open dashboard -> click report -> crash. Order ref ORD-471337. Please investigate."
28,bug_report,App crash issue #5427,"On 2025-11-21 20:39, while using the app, I encountered an issue (error code ERR713). Steps: open dashboard -> click report -> crash. Order ref ORD-174755. Please investigate."
29,bug_report,App crash issue #9893,"On 2025-10-19 20:39, while using the app, I encountered an issue (error code ERR717). Steps: open dashboard -> click report -> crash. Order ref ORD-675229. Please investigate."
30,bug_report,App crash issue #6919,"On 2025-05-09 20:39, while using the app, I encountered an issue (error code ERR693). Steps: open dashboard -> click report -> crash. Order ref ORD-348119. Please investigate."
31,bug_report,App crash issue #3091,"On 2025-08-28 20:39, while using the app, I encountered an issue (error code ERR244). Steps: open dashboard -> click report -> crash. Order ref ORD-813969. Please investigate."
32,bug_report,App crash issue #442,"On 2025-09-12 20:39, while using the app, I encountered an issue (error code ERR173). Steps: open dashboard -> click report -> crash. Order ref ORD-528082. Please investigate."
33,bug_report,App crash issue #1650,"On 2025-09-28 20:39, while using the app, I encountered an issue (error code ERR303). Steps: open dashboard -> click report -> crash. Order ref ORD-542471. Please investigate."
34,bug_report,App crash issue #6294,"On 2025-09-26 20:39, while using the app, I encountered an issue (error code ERR337). Steps: open dashboard -> click report -> crash. Order ref ORD-397506. Please investigate."
35,bug_report,App crash issue #232,"On 2025-09-04 20:39, while using the app, I encountered an issue (error code ERR247). Steps: open dashboard -> click report -> crash. Order ref ORD-212255. Please investigate."
36,bug_report,App crash issue #8906,"On 2025-10-22 20:39, while using the app, I encountered an issue (error code ERR267). Steps: open dashboard -> click report -> crash. Order ref ORD-846024. Please investigate."
37,bug_report,App crash issue #4930,"On 2025-09-30 20:39, while using the app, I encountered an issue (error code ERR517). Steps: open dashboard -> click report -> crash. Order ref ORD-118436. Please investigate."
38,bug_report,App crash issue #2211,"On 2025-11-25 20:39, while using the app, I encountered an issue (error code ERR573). Steps: open dashboard -> click report -> crash. Order ref ORD-536797. Please investigate."
39,bug_report,App crash issue #1617,"On 2025-09-03 20:39, while using the app, I encountered an issue (error code ERR557). Steps: open dashboard -> click report -> crash. Order ref ORD-376477. Please investigate."
40,bug_report,App crash issue #5502,"On 2025-07-08 20:39, while using the app, I encountered an issue (error code ERR738). Steps: open dashboard -> click report -> crash. Order ref ORD-565626. Please investigate."
41,bug_report,App crash issue #8618,"On 2025-11-22 20:39, while using the app, I encountered an issue (error code ERR416). Steps: open dashboard -> click report -> crash. Order ref ORD-506321. Please investigate."
42,bug_report,App crash issue #1140,"On 2025-09-15 20:39, while using the app, I encountered an issue (error code ERR295). Steps: open dashboard -> click report -> crash. Order ref ORD-346997. Please investigate."
43,bug_report,App crash issue #7338,"On 2026-02-16 20:39, while using the app, I encountered an issue (error code ERR176). Steps: open dashboard -> click report -> crash. Order ref ORD-209324. Please investigate."
44,bug_report,App crash issue #3961,"On 2026-01-13 20:39, while using the app, I encountered an issue (error code ERR499). Steps: open dashboard -> click report -> crash. Order ref ORD-330865. Please investigate."
45,bug_report,App crash issue #799,"On 2025-12-09 20:39, while using the app, I encountered an issue (error code ERR574). Steps: open dashboard -> click report -> crash. Order ref ORD-254468. Please investigate."
46,bug_report,App crash issue #102,"On 2025-09-02 20:39, while using the app, I encountered an issue (error code ERR397). Steps: open dashboard -> click report -> crash. Order ref ORD-788614. Please investigate."
47,bug_report,App crash issue #5802,"On 2025-11-06 20:39, while using the app, I encountered an issue (error code ERR523). Steps: open dashboard -> click report -> crash. Order ref ORD-509964. Please investigate."
48,bug_report,App crash issue #4119,"On 2026-03-18 20:39, while using the app, I encountered an issue (error code ERR790). Steps: open dashboard -> click report -> crash. Order ref ORD-257807. Please investigate."
49,bug_report,App crash issue #3990,"On 2025-12-21 20:39, while using the app, I encountered an issue (error code ERR562). Steps: open dashboard -> click report -> crash. Order ref ORD-705011. Please investigate."
50,bug_report,App crash issue #2502,"On 2025-09-29 20:39, while using the app, I encountered an issue (error code ERR600). Steps: open dashboard -> click report -> crash. Order ref ORD-209950. Please investigate."
51,bug_report,App crash issue #2437,"On 2025-06-16 20:39, while using the app, I encountered an issue (error code ERR927). Steps: open dashboard -> click report -> crash. Order ref ORD-628165. Please investigate."
52,bug_report,App crash issue #9235,"On 2026-01-29 20:39, while using the app, I encountered an issue (error code ERR923). Steps: open dashboard -> click report -> crash. Order ref ORD-290068. Please investigate."
53,bug_report,App crash issue #4331,"On 2025-06-30 20:39, while using the app, I encountered an issue (error code ERR341). Steps: open dashboard -> click report -> crash. Order ref ORD-753293. Please investigate."
54,bug_report,App crash issue #2489,"On 2025-08-13 20:39, while using the app, I encountered an issue (error code ERR949). Steps: open dashboard -> click report -> crash. Order ref ORD-237431. Please investigate."
55,bug_report,App crash issue #2679,"On 2025-09-22 20:39, while using the app, I encountered an issue (error code ERR238). Steps: open dashboard -> click report -> crash. Order ref ORD-863315. Please investigate."
56,bug_report,App crash issue #8218,"On 2025-04-18 20:39, while using the app, I encountered an issue (error code ERR998). Steps: open dashboard -> click report -> crash. Order ref ORD-421393. Please investigate."
57,bug_report,App crash issue #1558,"On 2025-06-20 20:39, while using the app, I encountered an issue (error code ERR139). Steps: open dashboard -> click report -> crash. Order ref ORD-801322. Please investigate."
58,bug_report,App crash issue #4319,"On 2025-05-13 20:39, while using the app, I encountered an issue (error code ERR579). Steps: open dashboard -> click report -> crash. Order ref ORD-158849. Please investigate."
59,bug_report,App crash issue #5711,"On 2025-12-03 20:39, while using the app, I encountered an issue (error code ERR504). Steps: open dashboard -> click report -> crash. Order ref ORD-638395. Please investigate."
60,bug_report,App crash issue #5820,"On 2025-06-26 20:39, while using the app, I encountered an issue (error code ERR892). Steps: open dashboard -> click report -> crash. Order ref ORD-899264. Please investigate."
61,bug_report,App crash issue #3839,"On 2025-05-31 20:39, while using the app, I encountered an issue (error code ERR974). Steps: open dashboard -> click report -> crash. Order ref ORD-316434. Please investigate."
62,bug_report,App crash issue #9232,"On 2026-03-15 20:39, while using the app, I encountered an issue (error code ERR988). Steps: open dashboard -> click report -> crash. Order ref ORD-119508. Please investigate."
63,bug_report,App crash issue #5740,"On 2025-07-17 20:39, while using the app, I encountered an issue (error code ERR437). Steps: open dashboard -> click report -> crash. Order ref ORD-938275. Please investigate."
64,bug_report,App crash issue #9406,"On 2025-10-30 20:39, while using the app, I encountered an issue (error code ERR772). Steps: open dashboard -> click report -> crash. Order ref ORD-320837. Please investigate."
65,bug_report,App crash issue #3983,"On 2025-12-03 20:39, while using the app, I encountered an issue (error code ERR159). Steps: open dashboard -> click report -> crash. Order ref ORD-859661. Please investigate."
66,bug_report,App crash issue #5379,"On 2025-07-18 20:39, while using the app, I encountered an issue (error code ERR966). Steps: open dashboard -> click report -> crash. Order ref ORD-963384. Please investigate."
67,bug_report,App crash issue #5443,"On 2025-09-16 20:39, while using the app, I encountered an issue (error code ERR261). Steps: open dashboard -> click report -> crash. Order ref ORD-155371. Please investigate."
